key,en,fr,de,es,it,nl
language.name,English,Français,Deutsch,Español,Italiano,Nederlands
app.name,Talkin,Talkin,Talkin,Talkin,Talkin,Talkin
app.tagline,Speak anywhere. Your voice never leaves this machine.,Parlez partout. Votre voix ne quitte jamais cette machine.,Sprechen Sie überall. Ihre Stimme verlässt diesen Rechner nie.,Habla en cualquier parte. Tu voz nunca sale de esta máquina.,Parla ovunque. La tua voce non lascia mai questa macchina.,Spreek overal. Je stem verlaat deze machine nooit.
tray.status.loading,Loading speech model…,Chargement du modèle vocal…,Sprachmodell wird geladen…,Cargando el modelo de voz…,Caricamento del modello vocale…,Spraakmodel wordt geladen…
tray.status.idle,Ready — hold your key and speak,Prêt — maintenez votre touche et parlez,Bereit — Taste gedrückt halten und sprechen,Listo — mantén tu tecla y habla,Pronto — tieni premuto il tasto e parla,Klaar — houd je toets ingedrukt en spreek
tray.status.listening,Listening…,Écoute…,Hört zu…,Escuchando…,In ascolto…,Luistert…
tray.status.thinking,Transcribing…,Transcription…,Transkribiert…,Transcribiendo…,Trascrizione…,Bezig met transcriberen…
tray.status.paused,Paused,En pause,Pausiert,En pausa,In pausa,Gepauzeerd
tray.open_settings,Settings,Réglages,Einstellungen,Ajustes,Impostazioni,Instellingen
tray.pause,Pause Talkin,Mettre Talkin en pause,Talkin pausieren,Pausar Talkin,Metti in pausa Talkin,Talkin pauzeren
tray.resume,Resume Talkin,Reprendre Talkin,Talkin fortsetzen,Reanudar Talkin,Riprendi Talkin,Talkin hervatten
tray.restart,Restart,Redémarrer,Neu starten,Reiniciar,Riavvia,Herstarten
tray.quit,Quit,Quitter,Beenden,Salir,Esci,Afsluiten
correction.title,Teach Talkin a word,Apprendre un mot à Talkin,Talkin ein Wort beibringen,Enséñale una palabra a Talkin,Insegna una parola a Talkin,Leer Talkin een woord
correction.heard,Talkin heard,Talkin a entendu,Talkin hat verstanden,Talkin oyó,Talkin ha sentito,Talkin hoorde
correction.should_be,How should it be spelt?,Comment doit-il s'écrire ?,Wie soll es geschrieben werden?,¿Cómo debe escribirse?,Come va scritta?,Hoe moet het gespeld worden?
correction.save,Save,Enregistrer,Speichern,Guardar,Salva,Opslaan
correction.cancel,Cancel,Annuler,Abbrechen,Cancelar,Annulla,Annuleren
